"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story ddt","Search wiki by keyword test DDT","SUCCESS","2022-04-17T22:25:43.848+03:00[Europe/Athens]","0.0","9.6"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2022-04-19T15:32:39.091+03:00[Europe/Athens]","0.0","14.21"
"Search by keyword story","Searching by keyword dog should display the corresponding article","SUCCESS","2022-05-09T20:43:44.466+03:00[Europe/Athens]","0.0","8.15"
"Search by keyword story","Searching by keyword pear should display the corresponding article","SUCCESS","2022-05-09T20:43:53.269+03:00[Europe/Athens]","0.0","3.74"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2022-05-09T20:43:57.012+03:00[Europe/Athens]","0.0","0.3"
"Search by keyword story","Searching by keyword strawberry should display the corresponding article","SUCCESS","2022-05-09T20:43:57.397+03:00[Europe/Athens]","0.0","4.6"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-05-09T20:44:02.059+03:00[Europe/Athens]","0.0","8.59"
"Emag search by keyword story ddt","Search emag by keyword test DDT","SUCCESS","2022-05-09T19:45:34.301+03:00[Europe/Athens]","0.0","38.66"
"Emag search by keyword story ddt error","Search emag by keyword test DDT","SUCCESS","2022-05-09T19:49:24.451+03:00[Europe/Athens]","0.0","47.73"
"Emag subscribe story ddt","Subscribe test DDT","SUCCESS","2022-05-09T20:35:51.702+03:00[Europe/Athens]","0.0","14.97"
"Emag subscribe story ddt error","Subscribe test DDT","SUCCESS","2022-05-09T20:37:13.552+03:00[Europe/Athens]","0.0","10.53"
